"236","1","1",NULL,"2","1"
"237","26","1",NULL,"2","1"
"238","2","2",NULL,"2","1"
"239","3","3",NULL,"2","1"
"240","27","3",NULL,"2","1"
"241","4","4",NULL,"2","1"
"242","28","4",NULL,"2","1"
"243","5","5",NULL,"2","1"
"244","6","6",NULL,"2","1"
"245","29","7",NULL,"2","1"
"246","30","8",NULL,"2","1"
"247","31","9",NULL,"2","1"
"248","7","10",NULL,"2","1"
"249","8","10",NULL,"2","1"
"250","9","11",NULL,"2","1"
"251","10","11",NULL,"2","1"
"252","11","12",NULL,"2","1"
"253","12","12",NULL,"2","1"
"254","13","13",NULL,"2","1"
"255","14","13",NULL,"2","1"
"256","15","14",NULL,"2","1"
"257","16","14",NULL,"2","1"
"258","17","15",NULL,"2","1"
"259","18","15",NULL,"2","1"
"260","19","16",NULL,"2","1"
"261","20","17",NULL,"2","1"
"262","21","18",NULL,"2","1"
"263","22","18",NULL,"2","1"
"264","23","18",NULL,"2","1"
"265","24","18",NULL,"2","1"
"266","25","18",NULL,"2","1"
"267","26","10",NULL,"2","1"
